ano,cod_uf,uf,cod_municipio,municipio,regiao,populacao
2018,35,SP,3550308,S�o Paulo,Sudeste,12176866
2018,33,RJ,3304557,Rio de Janeiro,Sudeste,6718903
2018,31,MG,3106200,Belo Horizonte,Sudeste,2521564
2018,43,RS,4314902,Porto Alegre,Sul,1484941
2018,41,PR,4106902,Curitiba,Sul,1933105
2019,35,SP,3550308,S�o Paulo,Sudeste,12252023
2019,33,RJ,3304557,Rio de Janeiro,Sudeste,6747815
2019,31,MG,3106200,Belo Horizonte,Sudeste,2523794
2019,43,RS,4314902,Porto Alegre,Sul,1488252
2019,41,PR,4106902,Curitiba,Sul,1948626
2020,35,SP,3550308,S�o Paulo,Sudeste,12325232
2020,33,RJ,3304557,Rio de Janeiro,Sudeste,6775561
2020,31,MG,3106200,Belo Horizonte,Sudeste,2528785
2020,43,RS,4314902,Porto Alegre,Sul,1492530
2020,41,PR,4106902,Curitiba,Sul,1963726
2021,35,SP,3550308,S�o Paulo,Sudeste,12396372
2021,33,RJ,3304557,Rio de Janeiro,Sudeste,6804172
2021,31,MG,3106200,Belo Horizonte,Sudeste,2534512
2021,43,RS,4314902,Porto Alegre,Sul,1496863
2021,41,PR,4106902,Curitiba,Sul,1976010















